start	end	text
2977160	2986040	article, of course, you can go here. Another article by Andra Waagmeester is this one. This
2986040	2995720	has to do with aligning knowledge surrounding corona viruses. When the pandemic struck,
2995720	3002760	it said here that there were a lot of projects and initiatives that rose up in the beta corner.
3003640	3011320	And these were all very loosely related. And there was a need to have a common ground to bring
3011320	3018840	together all these different projects. And in this paper, Wikidata is suggested as such a common
3018840	3029320	ground. So this is used to make data sources related to human corona viruses more interoperable.
3030200	3037400	So these are two papers by Andra Waagmeester. Actually, he took it a step further and he did
3037400	3051240	a PhD on biomedical sciences and Wikidata. Not exactly, but this PhD of his, which he defended
3051960	3060360	successfully earlier this year in January, it has a lot of Wikidata in it. I counted it and it has
3060840	3069800	415 mentions of Wikidata. I think this is the most Wikidata dense PhD thesis, perhaps,
3073000	3078680	for sure in this field of science. And I think perhaps in the Netherlands, perhaps even worldwide,
3078760	3084520	this is Wikidata is very prominent in this particular PhD.
3087640	3094600	This is another article on biological taxonomy. For reasons of time, I'm not going to
3095960	3099080	detail it. I'm not going to talk about it. Actually, I'm just showing it to you.
3099640	3106520	Of course, this presentation is also available as a PowerPoint and as a PDF file. And there's also a
3106520	3113880	full text version of this presentation where you can find the link to this particular article.
3113880	3119160	If you want to study it yourself, you can do it after this presentation.
3121720	3125160	And then the third field that I would like to bring forward is this one,
3125880	3132200	astronomy. And this is, let's say, the mirror opposite of life sciences, because
3133000	3138040	that's actually the topic I studied. I studied astronomy in the 90s in Leiden.
3138840	3144760	So I'm much more familiar with the type of information you see here than the type of
3144760	3151800	information you saw on the previous slides. So I was really happy to find a paper that mentions
3152360	3161960	Wikidata in relation to astronomy. And this paper talks about using Wikidata to disambiguate
3161960	3168120	planetary features. And what are planetary features? Excuse me, in this context.
3170360	3177240	Think, for instance, of craters on the moon and craters on Mars that carry the same name.
3178200	3182520	So if you have a paper, if you have an astronomical publication, and you want to do
3182520	3189960	named entity recognition on that paper, and you would encounter, for instance, I think it's called
3190520	3196520	Adams here, the crater is called Adams, you're not sure if that crater is situated on the moon,
3197080	3207640	or if it's situated on Mars. To make that process easier, this paper suggests that Wikidata can be
3207640	3215240	used for extracting planetary names, and to make that named entity recognition process and this
3215320	3219640	disambiguation process of planetary features more easily.
3222600	3228680	Another thing about astronomy, this is also, I'm just going to show you this, I'm not going to
3228680	3232920	discuss it, but you can study it yourself afterwards if you're interested.
3234520	3240120	Because I would like to move on to the next, the fourth case study on using Wikidata.
3240680	3244840	And this has to do with a very hot topic at the moment, large language models and
3244840	3252520	artificial intelligence. And this paper talks about using Wikidata to make large language
3252520	3259880	models more accurate and flexible. Here it says that all the facts that are stated in Wikidata,
3259880	3267720	some 12 billion, they can be used to train large language models to provide more accurate answers.
3268520	3275080	And the other way around is also true. This paper talks about using artificial intelligence and LLMs
3275080	3283240	to improve the contents of Wikidata. And you might notice in Wikidata that some fields are empty,
3283240	3288600	for instance, that not all fields have been fulfilled, or that certain languages in Wikidata
3288600	3296440	are underrepresented. And this paper suggests that artificial intelligence could build,
3296520	3308920	could fill those kinds of current gaps. This is another paper on IA and LLMs related to Wikidata,
3308920	3313960	but as with the previous two other papers that I skipped, I will also skip this one
3313960	3319800	for reasons of time. So if you're interested in that, yeah, you can study it yourself.
3320760	3328840	Because what I would like to spend the last five remaining minutes on of this talk is this one.
3328840	3335720	This is a case study from my own library, from the KB. And this has to do with GLAM and cultural
3335720	3343160	heritage. And the thing about the KB is that we have this really nice collection of what we call
3343160	3349240	our collection highlights. We have really wonderful manuscripts and old atlases and these really
3350440	3357320	lovely, hand-illustrated books about birds of the Netherlands from the 18th century, basically.
3358280	3366120	And we have about 80 of these most beautiful and important objects of our collection.
3366120	3370360	These are our collection highlights. And these are all part of our national heritage.
3373240	3379720	And when you look at the way that we make these collection highlights available through our own
3379720	3388280	websites, like our own KB website, but also our catalog, and the way we show the fully digitized
3388280	3394520	works, you will notice that they are really good to look at and to read. You can, for instance,
3394520	3399720	read about all these collection highlights on our own websites. You can all find them in our catalogs.
3399720	3405640	And we have these books you can leaf through with all the digitized images of all these
3406440	3414040	80 collection highlights. And the metaphor is that you can view them and you can see them and
3414040	3419080	you can read them, but you can't touch them. And what do I mean by you can't touch them?
3419880	3426360	Is that if you actually want to build stuff, you want to use these collection highlights as
3426360	3431800	building blocks, if you want to create something from these collection highlights, then our own
3431800	3438200	web services are not very suitable. And what do we have to think? If I say build stuff,
3439320	3444680	then like you say you want to make visualizations based on our collection highlights, or you want
3444680	3450360	to build apps that contain collection highlights, or you want to make data stories, or you want to
3450360	3458520	do AA stuff, or you want to build tools, etc. or games you want to use, you want to make a game
3458520	3464360	of our collection highlights, or offline you want to do a publication, or you want to do an artwork
3464360	3472440	on these collection highlights, then our own website and our own catalog are not really
3472440	3479560	suitable for that. It's not a place that offers building blocks. So if you think that idea through,
3480680	3485400	what you actually would like to have is something like that. You would like your collections
3485960	3493400	highlights to be some kind of a technical Lego set that contains building blocks with which you
3493400	3500280	can make all these things I just showed you. And if you look at this slide, it's no coincidence
3501000	3511400	that this Lego box is powered by Wikidata and also Commons and Wikipedia.
3512360	3519480	And how do you need to see this? This is about what I've called Wikifying our collection highlights.
3519480	3526120	So what we made sure we did a project on that in 2020. And we made sure that our collection
3526120	3535640	highlights were all described on Wikidata. And also subsets or deeper level Wikidata items
3535640	3542200	regarding those highlights were made. Next, we made sure that all the 11,000 images we had
3542200	3548520	from our AD collection highlights were available on Wikimedia Commons. And we made sure that most
3549160	3555720	highlights got Wikipedia articles. And I've summarized that process of turning our collection
3555720	3562440	highlights into Wiki building blocks. I call that Wikifying. And once you start Wikifying your
3562440	3570120	collections, then you will be able, you will get all kinds of new functionalities that you
3570680	3575480	can now do with your collection highlights that were not possible before.
3578360	3587720	Perhaps this is a bit abstract, but I invite you to read a five series paper that I wrote about this.
3588680	3594920	50 cool things that you can now do with KB collection highlights. And these, the first part
3594920	3601880	is a general introduction for why we did the project and how we Wikified our collection highlights.
3601880	3610520	And then in the four next episodes of this series, in roughly, let's say 12 new functionalities per
3610520	3618680	article, you can discover what kind of new things we can now do with our collection highlights,
3618680	3624120	because our collection highlights are now available in the Wikimedia infrastructure.
3625000	3630280	This is a really nice article that I really would like to encourage you to read it.
3633400	3636840	And then the last example that I would like to show you
3637400	3643160	is this one. This is from the American Physical Society. So that's the
3643960	3650440	organization that supports physicists in the United States. And they provide these trainings
3651160	3658440	that aim at elevating the achievements of women and other underrepresented groups via Wikipedia
3659080	3667800	and via Wikidata. The American Physical Society has such an initiative.
3670840	3674760	A similar initiative is done by the Smithsonian Institutions in Washington.
3676520	3683080	And they want to improve the representation of women in science, technology, engineering and math
3683640	3690440	by working on Wikipedia articles to improve those and create those for more female scientists
3690440	3698120	and also do that simultaneously on Wikidata. And if you get better information in Wikipedia,
3698120	3706040	you get better info boxes. Here this is a Wikipedia info box. And then in Google search results,
3706040	3712360	which is based on this info box, the information here will also be visible better.
3713080	3720360	So by working on Wikidata and Wikipedia, eventually Google will also be improved.
3724760	3729560	And if you want to read more about this, these were just six case studies where I highlighted
3729560	3737960	a number of papers. If you want to read more papers on science and Wikidata, you can go to
3737960	3745160	the little list I compiled here for you. It's various Google Scholar and Semantic Scholar that
3745160	3753320	I talked about before. And you can look for Wikidata articles yourself. Okay, this is pretty
3753320	3763240	much the end of my talk. Nearly finished. What I would like to show you before I really finish is
3763640	3770840	where you can find this presentation on Zenodo. If you go to this record on Zenodo,
3775000	3781000	then you can either download this presentation as a PowerPoint or a PDF.
3783720	3792200	And if you want to discover Wikidata further, because I was only able to show you a really
3792200	3798920	small part actually of all the knowledge related to Wikidata, you can go to this page on GitHub,
3798920	3806440	the Wikidata General Overview. And this is kind of a comprehensive introduction into Wikidata,
3807080	3813880	but quite compact. I tried to squeeze as much information on the basic level about Wikidata
3813880	3822920	into a big list. It's a big inventory of mainly links to other places for Wikidata.
3824520	3831160	I think this is a really good general introduction, general overview of Wikidata if you're relatively
3831160	3839640	new to Wikidata. Okay, that was my presentation. That was my talk. Thank you for your attention.
3839640	3847160	If you have any questions or any suggestions, please reach out to me. The preferred way is via
3847160	3853400	email here. This is my email address at the National Library. You can find all the information
3853400	3861720	here on Zenodo. And I would like to know if you send me an email. If you want to know more, we can
3861720	3869000	get in contact further. Okay, that was it for me. Bye bye. And I'll see you in the second part of
3869000	3874680	the presentation, or the second part of the workshop, which is the practical, hands-on part
3874680	3880760	of the workshop. And this is available in a separate video, which is also available from
3881880	3886680	Zenodo in due time. Bye bye.
